ð ə; the
d͡ʒ ˈ ɛ n ɝ ə l z; general's generals
t͡ʃ ˈ i z; cheese
f ˈ æ b ɹ ɪ k; fabric
ˈ æ n ə l ˌ ɔ g; analog analogue
p ɹ ˈ ɪ m ə t ɪ v; primitive
ə s ˈ ʌ m p ʃ ə n; assumption
d͡ʒ ˈ ʌ m p ɪ ŋ; jumping
k ˈ eɪ d͡ʒ; cage kage
ɹ i ˈ u n j ə n; reunion
s ˈ ɛ k; cech sec seck
f ˈ eɪ; fay faye fe fey
ˌ ɪ n s t ɪ t ˈ u ʃ ə n ə l; institutional
b ˈ i ɪ ŋ z; being's beings
ɪ k s k l ˈ u d ə d; excluded
ɪ k s p ˈ ɛ n s ə z; expenses
d ˈ ɪ s ə p l ə n z; disciplines
l ɪ ŋ g w ˈ ɪ s t ɪ k; linguistic
h ˈ aɪ n ɹ ɪ k; heinrich
f ˈ oʊ l d ə d; folded
p l ˈ æ k; plack placke plaque
k ˈ ʌ m b ɝ l ə n d; cumberland
d ˌ ɛ s t ə n ˈ eɪ ʃ ə n z; destinations
d͡ʒ ˈ oʊ ə l; joel
k ˈ ɑ n s t ə t ˌ u t ə d; constituted
l ˈ ʌ n t͡ʃ; lunch
m ˈ ɪ ɹ; mear mere mir myhre
w ɛ n ˈ ɛ v ɝ; whenever
ˌ ɔ d ə t ˈ ɔ ɹ i ə m; auditorium
p ə b l ˈ ɪ s ə t i; publicity
n ˈ u m ə n; neuman neumann newman newmann
s t ˈ ɛ m z; stems
p ˈ ʌ b l ɪ ʃ ə z; publishes
ɔ t ˈ ɑ n ə m i; autonomy
g ˈ eɪ n z; gaines gains ganes
t ˈ ɛ n d ɝ; tender
k ˈ ʌ p ə l d; coupled
t ˈ ɛ k s t ˌ aɪ l; textile
k ə n v ˈ ɪ n s; convince
g ˈ ɪ f t s; gifts
j ˈ u t ə l ˌ aɪ z d; utilized
f ˈ ɪ l m ˌ eɪ k ɝ; filmmaker
l ˈ ʌ ŋ; lung
d ˈ æ n s ə z; dances
j ˈ ɝ ə g w ˌ eɪ; uruguay
v ˈ ɑ ɹ s ɪ t i; varsity
d ˈ ɔ ɹ s ə l; dorsal
ˈ ɪ m ɪ d͡ʒ ɪ ŋ; imaging
ˈ ɪ n s t ə t ˌ u t s; institutes
k w ˈ ɑ l ə t i z; qualities
ˈ æ n θ ə m; anthem
ˌ aɪ d i ˈ ɑ l ə d͡ʒ i; ideology
s t ˈ ɛ d i; steady
ˈ æ d ə k w ə t; adequate
b ˈ i t s; baetz beats beets beitz bietz
m ˈ æ d͡ʒ ɪ k ə l; magical
d ɹ ˈ æ g; drag
f ˈ ɔ ɹ w ˌ ɪ ŋ z; forewings
s ə l ˈ ɛ b ɹ ɪ t i z; celebrities celebrity's
ɹ ˈ i z ə n ə b ə l; reasonable
m ˈ ɪ k s ɪ ŋ; mixing
m ˈ aɪ n ɝ z; meiners miner's miners miners' minors
ɹ ɪ p l ˈ aɪ d; replied
s ɪ k j ˈ ʊ ɹ ə t i z; securities securities' security's
t ɹ æ n s m ˈ ɪ t ɪ d; transmitted
ɹ u t ˈ i n; routine
t ɹ æ n s l ˈ eɪ t ɝ; translator
s k ˈ i ɪ ŋ; skiing
k ˈ ɛ ɹ i; carey carie carrey carrie cary kairey kari karry kary kerrey kerri kerry
m ˌ ɑ h ɝ ˈ ɑ ʃ t ɹ ˌ ʌ; maharashtra
t ˈ ɝ m ə n ˌ eɪ t ɪ d; terminated
h ˈ ɑ ɹ ʃ; harsch harsh
p ˈ i k ɪ ŋ; peaking peeking
b ɹ ˈ ɔ d ɝ; broader
p ˈ ɔ l z; paul's paules pauls
t ˈ æ l ə n t ɪ d; talented
b ˈ ɝ k; berch berk berke birk bourke burck burk burke
d ɪ s t͡ʃ ˈ ɑ ɹ d͡ʒ; discharge
ə p g ɹ ˈ eɪ d; upgrade
m ˈ ʌ d; mud mudd
m ˈ aɪ l d; mild
ə p l ˈ aɪ z; applies
d ˈ ʌ z ə n z; dozens
f ˈ eɪ t ə l; fatal
w ˈ aɪ z; why's whys wies wise wyse y's y.'s
k ˈ ʌ m b ˌ æ k; comeback
ɪ g z ˈ æ m; exam
d ˈ ʌ k; duc duck duk
ɪ f ˈ ɛ k t ɪ v n ə s; effectiveness
ˈ i z; e's e.'s e.s ease
l ˈ ɪ n ə k s; linux
d ˈ ɪ f ɝ z; differs
b ˈ æ t m ˌ æ n; batman
d͡ʒ ˈ u v ə n ə l; juvenile
k ə n s ˈ ɔ ɹ ʃ i ə m; consortium
s t ɹ ˈ ʌ g ə l z; struggle's struggles
ɹ ˈ i m ˈ eɪ k; remake
ɹ ˈ ɛ m n ə n t s; remnants
m ˈ ɪ d l ˌ æ n d; midland
ə p ɹ ˈ oʊ t͡ʃ ɪ ŋ; approaching
l ə d͡ʒ ˈ ɪ t ə m ə t; legitimate
m ˈ ɑ ɹ t͡ʃ t; marched
s ˈ ʌ f ə k; suffolk
g ˈ ɑ ɹ n ɝ d; garnered
s t ˈ æ t͡ʃ ˌ u z; statues
ˈ æ n t ˌ ɔ n; anton
t ɹ ˈ ɪ n ɪ d ˌ æ d; trinidad
ˌ ɪ n s k ɹ ˈ ɪ p ʃ ə n z; inscriptions
s ˌ ɪ v ə l ɪ z ˈ eɪ ʃ ə n; civilization
f ˈ ɔ n ə; fauna
ɹ ɪ z ˈ aɪ d ɪ d; resided
h ˈ æ m p t ə n; hampton
d ˈ æ m ə d͡ʒ ə z; damages
s ˈ ɑ v ɹ ə n t i; sovereignty
f ˈ ɑ l oʊ ˌ ʌ p; follow-up followup
w ˈ aɪ v z; wives wives'
p ˈ æ ð z; paths
d ɪ f ˈ ɛ n d ɝ z; defender's defenders
n ˈ eɪ k ə d; naked
k w ˈ ɑ n t ə t i z; quantities
ɪ k s p l ˈ eɪ n ɪ ŋ; explaining
ˈ æ f t ɝ w ɝ d; afterward
ˈ ɑ l ə v; olive
d ɪ m ˈ æ n d ɪ ŋ; demanding
n ˈ ɝ v; nerve
t ˌ æ z m ˈ eɪ n i ə; tasmania
d͡ʒ ˈ ɑ ʃ ˌ u ə; joshua
s ˈ ɪ ŋ z; sing's singh's sings
t ɹ æ n z ˈ æ k ʃ ə n z; transaction's transactions
ˈ ɛ k s t ə n t; extant
j ˈ ɛ s; yes
ˈ aɪ t ˌ u n z; itunes
ˈ æ s ə d z; acids
f ˈ i d͡ʒ i; fiji
p ˈ eɪ n t ɝ z; painter's painters
d ˈ ɛ ɹ ɪ k; derek derick derik derrick deryck
ɹ ɪ l ˈ aɪ; rely
ɹ ɪ t ˈ eɪ n ɪ ŋ; retaining
s t ˈ æ n; stan stann
s ɝ p ɹ ˈ aɪ z d; surprised
p ˈ aʊ d ɝ; powder
n ˈ ɝ v ə s; nervous
k ə m ˈ ɪ t; commit
p ˈ æ d͡ʒ ə n t; pageant
ʃ ˈ ɪ p t; shipped
ˌ ɪ ɹ ˈ ɛ g j ə l ɝ; irregular
ˌ ɪ n t ɝ ˈ æ k t; interact
k ˈ ɑ n s oʊ l; console
k ə m ˈ ɪ ʃ ə n z; commission's commissions
w ˈ ɔ l ʃ; walsh
ˈ æ ɹ oʊ; arrow
ˌ ɔ ɹ i ˈ ɛ n t ə l; oriental
p ɹ ˈ aɪ v ə s i; privacy
p ˈ oʊ l ɝ; poehler polar
ɹ ɪ v ˈ i l ɪ ŋ; revealing
m oʊ h ˈ ɑ m ɛ d; mohamed mohammad
l ˈ oʊ n d; loaned
m ɪ s t ˈ eɪ k; mistake
m ˈ ɑ n ə t ˌ ɛ ɹ i; monetary
m ɝ ˈ i n ə; marina
ˈ ɛ ɹ p ˌ ɔ ɹ t s; airport's airports
ɪ k s ˈ ɛ p ʃ ə n ə l; exceptional
ə t ˈ eɪ n d; attained
m ˈ ɪ θ; myth
v ˈ ɛ n t͡ʃ ɝ z; venture's ventures ventures'
aɪ d ˈ ɛ n t ə f ˌ aɪ ɪ ŋ; identifying
l ˈ aɪ t w ˈ eɪ t; lightweight
t ˈ aʊ n ʃ ɪ p s; townships
p ɹ ə s ˈ i d; proceed
p ˈ ʌ m p; pump
l ˈ ɪ z b ə n; lisbon
s ˌ æ k ɹ ə m ˈ ɛ n t oʊ; sacramento
k l ˈ æ s ɹ ˌ u m z; classrooms
b ˈ æ g; bag bagg bagge
m ˈ ɑ d͡ʒ u l; module
k ˈ ɛ ɹ f ə l i; carefully
d ɪ t ˈ ɛ n ʃ ə n; detention
ɹ ˈ oʊ l ɝ; roeller roller
j ˈ u n ə f ˌ ɔ ɹ m z; uniforms
ɹ ˈ aʊ; rao rau
v ˈ æ l j u d; valued
t ˈ ɛ n t͡ʃ ə n z; tensions
p ˈ ɑ ɹ t n ɝ ʃ ˌ ɪ p s; partnership's partnerships
k ə m ˈ ɝ ʃ ə l z; commercial's commercials
ˈ æ ŋ g ɝ; anger
ˈ ɝ θ s; earth's earths
b ˈ æ l ə d; ballad
w ˈ eɪ d͡ʒ; wage
k ˈ ɪ k t; kicked
p ɝ s ˈ u ɪ ŋ; pursuing
t ɹ ˈ æ m; tram
k ˈ ɑ l i g; colleague
ˈ æ s ˌ ɛ t; asset
ʃ ˈ ɛ f; chef scheff sheff
f ˈ eɪ k; fake
s n ˈ eɪ l z; snail's snails
s ˈ u d; sood sued
ɛ n k ˈ oʊ d ɪ d; encoded
p ˈ ɑ t ɝ; potter
ˈ æ t ɹ ə b j ˌ u t s; attributes
ɹ ˈ aɪ ə t s; riots riots'
ɹ ˈ ɛ g j ə l ˌ eɪ t ɪ d; regulated
t ɹ ə b j ˈ u n ə l; tribunal
t͡ʃ ˈ ɪ p; chip
ɛ n g ˈ eɪ d͡ʒ ɪ ŋ; engaging
k ə m p ˈ ɛ t ə t ɝ; competitor
ɹ ˈ ʌ n ɝ z; runner's runners
s t ɹ ˈ eɪ n; strain
ɑ g ˈ ʌ s t ə s; augustus
m ˈ ɛ ɹ ɪ d͡ʒ ɪ z; marriages
k ə m p ˈ ɑ z ə t; composite
ɹ ɪ z ˈ aɪ n; resign
t͡ʃ ˈ ɑ ɹ t ɝ d; chartered
v ˈ æ l i z; valley's valleys
d ɪ s ˈ ɛ n d ə n t; descendant descendent
s w ˈ ɪ f t; swift
s ˈ eɪ l ɝ z; sailor's sailors sailors' saylors
t ˈ ɛ l ʊ g u; telugu
ˈ ɔ ɹ g ə n z; organs
m ˈ æ s ə z; masses
k ˈ æ m p ə s ə z; campuses
g w ˌ ɑ t ə m ˈ ɑ l ə; guatemala
p ˈ æ t͡ʃ; patch
d͡ʒ ɪ b ɹ ˈ ɔ l t ɝ; gibraltar
d ˈ ɔ s; dos doss
k l ˈ ɛ ɹ; clair claire clare klare
ʃ ˈ æ f t; shaft
ʃ ˈ ʌ t ə l; shuttle
s ˈ æ v ə d͡ʒ; savage
k ə m j ˈ u n ə k ˌ eɪ t; communicate
d ɪ t ˈ æ t͡ʃ m ə n t; detachment
s ˈ ɪ l v ə; cilva silva sylva
n ˈ ɑ n; naan non
f ˈ ɔ ɹ b ɪ d ə n; forbidden
ˈ ɪ n t͡ʃ; inch
t͡ʃ ˈ ɛ n ˌ aɪ; chennai
l ˈ ɔ n t͡ʃ ɪ ŋ; launching
s p ˌ ɛ k j ə l ˈ eɪ ʃ ə n; speculation
l ˈ ɪ s ə n; listen
ˌ æ t m ə s f ˈ ɛ ɹ ɪ k; atmospheric
s ˈ eɪ l ə m; salem
ɹ ɪ v ˈ ɝ s t; reversed
f ˈ ɪ ŋ g ɝ; finger
d ɪ t ˈ ɝ m ə n ɪ ŋ; determining
ˌ ɪ n k ə m p l ˈ i t; incomplete
t ˈ ɛ n d ə n s i; tendency
d͡ʒ ə n ˈ ɛ ɹ ɪ k; generic
w ˈ ɪ m b ə l d ə n; wimbledon
k ˌ ɑ z ɑ k s t ˈ ɑ n; kazakhstan
s t ˈ ɪ ɹ ɪ ŋ; steering
b ɑ m b ˈ eɪ; bombay
ˌ ɪ n v ˈ ɛ s t ə g ˌ eɪ t ɪ ŋ; investigating
p ɹ ˈ ɛ f ɝ ə n s; preference
g ɹ ˈ ɪ f ɪ n; griffin
k ˈ ɝ v d; curved
s k ɹ ˈ i n ɹ ˌ aɪ t ɝ; screenwriter
s p ˈ ɛ k t eɪ t ɝ z; spectators
p ɹ ə g ɹ ˈ ɛ s t; progressed
m oʊ m ˈ ɛ n t ə m; momentum
m ˌ æ d ə g ˈ æ s k ɝ; madagascar
ɹ ˈ i k ə; rica ricca
f l ˈ æ ŋ k; flank
p ˈ æ n θ ɝ z; panther's panthers panthers'
m ˌ ɪ n i ˈ æ p ə l ɪ s; minneapolis
p ˈ ɑ ɹ k w ˌ eɪ; parkway
k ˈ ɔɪ n d; coined
b ˈ ʌ t ə n; button
ɹ ɪ w ˈ ɔ ɹ d; reward
f ˈ eɪ v ɝ d; favored
h ə w ˈ aɪ ə n; hawaiian
s ˈ æ ŋ k; sank
t͡ʃ ˈ u z ɪ ŋ; choosing
θ ˈ ɪ ŋ k s; think's thinks
l ˈ ɛ b ə n ˌ i z; lebanese
ɪ m ˈ ɛ ɹ ə t ə s; emeritus
s ˈ æ n t oʊ; santo santow
ɹ ˈ eɪ n b ˌ oʊ; rainbow
s ˈ ɛ n t ə n s ə z; sentences
p ɹ ˈ ɪ n t s; prints printz
f ɹ ˈ i l i; freely
ˌ ɛ v ə l ˈ u ʃ ə n ˌ ɛ ɹ i; evolutionary
ˈ æ l f ə b ˌ ɛ t; alphabet
h ˈ aɪ l ˌ aɪ t; highlight
f ˈ ɪ l t ɝ; filter
ˈ æ d v ə k ə t s; advocate's advocates
n ˈ aɪ f; knife
k ˌ ɑ m p l ə k ˈ eɪ ʃ ə n z; complications
t ˈ ɛ n d z; tends
ˈ i ɹ; ear
ˈ æ s t ɝ ˌ ɔɪ d; asteroid
m ˈ ɑ t oʊ; mato motto
l ˈ ɛ ʒ ɝ; leasure leisure
s ˈ u; siew sioux soo su sue
ɹ ɪ z ˈ ɛ m b ə l; resemble
s p ˈ ɛ ʃ ə l i; specially
t ɹ ˈ eɪ s t; traced
s ˈ ɝ d͡ʒ ɪ k ə l; surgical
b l ˈ æ s t; blast
w ˈ ʊ m ə n z; woman's
p ɹ ɪ s ˌ ɪ p ɪ t ˈ eɪ ʃ ə n; precipitation
ɹ ˈ i d͡ʒ ə n t; regent
k ə n s t ˈ ɪ t͡ʃ u ə n t; constituent
t æ n z ˈ eɪ n i ə; tanzania
f l ˈ æ g z; flags
k ˈ ɪ ŋ d ə m z; kingdom's kingdoms
w ˈ æ g n ɝ; wagner
m ˈ ɝ s i; mercy
t ɹ ˈ æ d͡ʒ ə d i; tragedy
s ə s p ˈ ɛ k t; suspect
ɛ s t ˈ oʊ n i ə n; estonian
f ɹ ˈ i d; frede freed freid friede
ˈ aɪ l ə n d ɝ; islander
ɛ m p l ˈ ɔɪ ɝ z; employer's employers employers'
ˌ ɛ m g ˈ i; mg
s p ˈ ɛ ɹ; spare
v ˈ ɝ n ə n; vernon
ə m ˈ eɪ z ɪ ŋ; amazing
p ˌ ɝ s ə n ˈ æ l ɪ t i z; personalities
k ˈ ɑ m ə n t ˌ eɪ t ɝ; commentator
s ˈ æ m ə n; salman salmon sammon
b ˈ aɪ n ɝ i; binary
d oʊ m ˈ eɪ n z; domains
b ə l ˈ ɪ v i ə; bolivia
b ˈ ɛ d f ɝ d; bedford
ɛ m b ˈ ɛ d ɪ d; embedded
b ˈ ʊ l ə t; bullet
ɹ ˈ aɪ ə t; riot
ʃ ˈ ɝ m ə n; scherman schurman sherman
s p ɹ ˈ ɛ d ɪ ŋ; spreading
s ˈ ɛ t ə l ɪ ŋ; settling
n ˈ ɔ ɹ w ɪ t͡ʃ; norwich
m ˈ æ s k ə t; mascot
æ k s ˈ ɛ p t ɪ ŋ; accepting
f ˈ ʌ n i; funny
b ɛ ŋ g ˈ ɑ l i; bengali
p ɹ ˈ ɛ d ə t ɝ z; predators
m ˈ ɪ d w ˌ eɪ; midway
s ɪ k j ˈ ʊ ɹ ɪ ŋ; securing
ˈ æ k t ɪ v ˌ ɪ z ə m; activism
f ˈ eɪ l z; fails fales
b ˈ ɛ ɹ i; barey barre berrey berri berrie berry buerry bury
s t ˈ æ m p; stamp
k ˈ ɝ ə d͡ʒ; courage
k ˈ u l ɪ ŋ; cooling
s ˈ ɪ t k ˌ ɑ m; sitcom
t ˈ ɑ k s ɪ k; toxic
d ɪ s p l ˈ eɪ s t; displaced
t ɹ ˈ ɛ n d z; trends
l ˈ æ n d s k ˌ eɪ p s; landscapes
s ˈ ɪ n ə g ˌ ɔ g; synagogue
ɪ g z ˈ ɛ k j ə t ɪ v z; executives
f ˈ ɝ g ə s ə n; fergason fergeson ferguson fergusson furgason
v ˈ ɝ b; verb
p ˈ eɪ v d; paved
ˈ ɪ n f ə n ə t; infinite
k ˌ ɔ ɹ ə n ˈ eɪ ʃ ə n; coronation
n ˈ ɪ k s ə n; nickson nixon
ˌ ɔ l t ə g ˈ ɛ ð ɝ; altogether
j u n ˈ ɛ s k ˌ oʊ; unesco
s k ˈ ɛ t͡ʃ; sketch
m ˈ æ p ɪ ŋ; mapping
v ˈ ɪ z ɪ t ɝ; visitor
f ɹ æ n t͡ʃ ˈ ɛ s k oʊ; francesco
v ˈ æ m p aɪ ɹ; vampire
b ˈ ɛ l z; bell's belles bells bells' bels belz
s m ˈ oʊ k ɪ ŋ; smoking
ˈ ɛ l ə f ə n t; elephant
ˌ ɪ n f ˈ ɛ k t ɪ d; infected
d ɪ z ˈ aɪ n ɪ ŋ; designing
h ˈ ɔ l t; halt
d͡ʒ ˈ ɛ n ə s ə s; genesis
m ˈ aɪ g ɹ ˌ eɪ t ɪ d; migrated
k ə n t ˈ ɛ s t ə n t; contestant
ˌ ɪ m p l ˈ aɪ z; implies
p ɹ ˈ oʊ t ˌ ɛ s t ɝ z; protesters protesters' protestors
m ˈ aɪ ə; maia maya
ɹ ˈ eɪ d i ə s; radius
d ˈ ɝ t i; dirty
ˌ ɪ n k ˈ ɔ ɹ p ɝ ˌ eɪ t; incorporate
s ə d͡ʒ ˈ ɛ s t͡ʃ ə n; suggestion
p ˈ ɑ s t͡ʃ ʊ m ə s l i; posthumously
ɹ ˈ ɑ k ə t s; rocket's rockets
ɪ l ˈ ɛ k t; elect
n ˈ eɪ v; knave nave
p ɝ k ˈ ʌ ʃ ə n; percussion
h ˈ ɑ ɹ p ɝ; harper
s ˈ i n ɪ k; scenic
f ɔ ɹ m ˈ eɪ ʃ ə n z; formations
k ə m ˈ æ n d z; command's commands
t ɹ ˈ æ k t; tracht tracked tract
s t ˈ eɪ t w ˌ aɪ d; statewide
w ˈ ʊ s t ɝ; worcester
t͡ʃ ˌ ɛ k ə s l oʊ v ˈ ɑ k i ə; czechoslovakia
ˈ aɪ p ˈ i; ip
l ˈ aɪ p s ɪ g; leipzig
f ˈ i d b ˌ æ k; feedback
b ˈ ɪ t ɝ; bitar bitter
v ˈ ɪ l ɪ d͡ʒ ɝ z; villagers
s ɪ m b ˈ ɑ l ɪ k; symbolic
ɹ ˈ ɑ t ə n; rotten
b ˌ ɪ b l i ˈ ɑ g ɹ ə f i; bibliography
h ˈ ɑ ɹ v ə s t; harvest
d ˌ ɛ d ə k ˈ eɪ ʃ ə n; dedication
d ˈ ɔɪ t͡ʃ; deutch deutsch deutsche
k ˈ ɑ m j ə n ə s t s; communist's communists
t ɪ b ˈ ɛ t ə n; tibetan
f ˈ ɪ ɹ d; feared
m j ˈ ɑ n m ˈ ɑ ɹ; myanmar
t ˈ ʌ ŋ; tongue tung
w ˈ æ g ə n; wagon
l ˈ ɛ ŋ θ i; lengthy
s ˈ ɔɪ l z; soil's soils
ɹ ˌ ɛ k ə m ə n d ˈ eɪ ʃ ə n; recommendation
s p ˈ ɑ n s ɝ z; sponsor's sponsors
ˈ æ n ɛ k s t; annexed
t ˈ i n ˌ eɪ d͡ʒ ɝ; teenager
b ˈ ʊ l z; bull's bulls bulls'
ə d ˈ ɪ ʃ ə n z; additions
h ˈ ʌ n i; honey
w ˈ ɛ l k ə m d; welcomed
s ˈ eɪ v z; save's saves
l ˈ aɪ s ə n s ɪ ŋ; licensing
s t ˈ ɑ p ɪ ŋ; stopping
t ɹ æ n s f ˈ ɝ z; transfers
d͡ʒ ˈ æ k s ə n v ˌ ɪ l; jacksonville
t͡ʃ ˈ aɪ n ə z; china's
ə s t ɹ ˈ ɑ n ə m i; astronomy
ɹ ɪ p ˈ i t; repeat
s w ˈ ɛ p t; swept
d ˈ i p ɝ; deeper
b l ˈ eɪ m d; blamed
f ˈ oʊ k l ˌ ɔ ɹ; folklore
ˈ æ k s ˌ ɛ s t; accessed
s p ˌ ɛ s ɪ f ɪ k ˈ eɪ ʃ ə n; specification
ˈ ʌ n d ɝ w ˌ ɔ t ɝ; underwater
p ˈ aɪ p l ˌ aɪ n; pipeline
ə b ˈ ʌ n d ə n t; abundant
v ˈ æ t ɪ k ə n; vatican
ɪ l ˈ ɛ k t ɝ ə t; electorate
k ˈ eɪ s i; caissie casey
k ə n t ɹ ˈ oʊ l ɝ; controller
ˌ ɑ ɹ ˌ ɛ n ˈ eɪ; rna
k ˈ ɑ m p ɹ ə m ˌ aɪ z; compromise
ˈ oʊ v ɝ t ˌ aɪ m; overtime
ɔ l b ˈ i ɪ t; albeit
ˈ æ n d ɹ ˌ ɔɪ d; android
s ə k s ˈ i d ɪ ŋ; succeeding
s ˌ ɛ ɹ ə m ˈ oʊ n i ə l; ceremonial
ɹ ˌ i p ɹ ə d ˈ ʌ k ʃ ə n; reproduction
l ˈ ɪ n t͡ʃ; linch lynch
ˈ ɑ k ə; aka
h ˈ æ n d f ˌ ʊ l; handful
d ˈ aʊ n z; down's downes downs
d ˌ ɑ k j ə m ɛ n t ˈ eɪ ʃ ə n; documentation
l ˈ u; leu lew lieu loo lou louw loux lu lue
m ˈ ɑ ɹ t͡ʃ ɪ ŋ; marching
h ˈ ɑ l oʊ; hollow
b ˈ u θ; booth buth
k ˈ ʌ l t ə v ˌ eɪ t ɪ d; cultivated
k ˈ oʊ v; cove
ɹ ˈ ɛ v ɝ ə n d; reverend
p ˈ eɪ t ɹ i ˌ ɑ ɹ k; patriarch
ɹ ə b ˈ ɛ ɹ t oʊ; roberto
m ˈ ɔ s; mauss mos moss
k ˈ ɛ m ɪ k ə l z; chemical's chemicals
d ˈ eɪ t ˌ aɪ m; daytime
f ɹ ˈ i k w ə n s i z; frequencies
p ˌ aɪ ə n ˈ ɪ ɹ ɪ ŋ; pioneering
w ˈ ɪ n t ɝ z; winter's winters
n ˈ ɔ ɹ t ə n; norton
d ɹ ˈ eɪ k; drake
ɪ m ˈ oʊ ʃ ə n z; emotions
h ˈ ɛ l s ɪ ŋ k i; helsinki
ə d v ˈ æ n s m ə n t; advancement
f ˌ oʊ t ə g ɹ ˈ æ f ɪ k; photographic
k l ˈ ɔ θ; cloth
h ˈ oʊ m l ə s; homeless
d ɪ t ˈ ɛ k t; detect
k ə m ˈ ɛ m ɝ ˌ eɪ t; commemorate
ˈ ɑ n ə; ana
b ˈ æ d͡ʒ; badge
ˈ ɑ ɹ t͡ʃ d ˈ aɪ ə s ə s; archdiocese
h aɪ ˈ eɪ t ə s; hiatus
h ˈ ɔ k s; hawke's hawkes hawks
m ˈ ɛ m w ˌ ɑ ɹ; memoir
ə f ˈ ɛ k t ɪ ŋ; affecting
ɹ ˈ i ə l ˌ aɪ z; realise realize
d ɪ f ˈ aɪ n ɪ ŋ; defining
g ˈ eɪ t w ˌ eɪ; gateway
v ˈ ɝ t͡ʃ u; virtue
p ɹ ˌ ɛ p ɝ ˈ eɪ ʃ ə n z; preparations
p ˌ aɪ ə n ˈ ɪ ɹ z; pioneer's pioneers
h ˈ eɪ t; haight hait hate
p ɹ ə t ˈ ɛ k t ɪ v; protective
b ɹ ˈ u n oʊ; bruno
ʃ ˈ eɪ p s; shapes
k ˈ ɑ ɹ n ə v ə l; carnival
s ɪ n θ ˈ ɛ t ɪ k; synthetic
ʃ ˈ ɔ ɹ t ə n d; shortened
p ɹ ˈ ɪ n s ə z; princes
ˈ ɑ p ʃ ə n ə l; optional
h ˈ oʊ m ɝ; homer
ɛ n k ˈ ɝ ɪ d͡ʒ ɪ ŋ; encouraging
d͡ʒ ˈ æ k i; jacki jackie jacky jakie
w ˈ i k ə n d; weakened
t ˈ ʌ n ə l z; tunnel's tunnels
w ˈ ɪ t n i; whitney
ˌ æ p ə s t ˈ ɔ l ɪ k; apostolic
h ˈ ɛ l ɪ k ˌ ɑ p t ɝ z; helicopters
ə k w ˈ ɑ t ɪ k; aquatic
b ˈ æ t s; bats batts batz
w ˈ u n d z; wounds
ə d͡ʒ ˈ ɛ n d ə; agenda
w ˈ ɔ ɹ ə n t; warrant
w ˈ eɪ d͡ʒ ə z; wages
h ˈ ɔ ɹ h eɪ; jorge
ɛ n ˈ eɪ b ə l z; enables
s oʊ f ˈ i ə; sofia sophia
ˈ ɛ m ˈ aɪ t ˈ i; mit
d͡ʒ ˈ ɛ s ɪ k ə; jessica
s t ˈ æ n s; stance
b ˈ ɛ ɹ l i; barely
s p ˈ ɛ ʃ ə l t i; specialty
p ɹ ə f ˈ ɛ s ɝ z; professor's professors professors'
p ɔ ɹ t ɹ ˈ eɪ ə l; portrayal
p l ˈ æ z m ə; plasma
m ˈ ɪ n ɝ ə l z; mineral's minerals minerals'
ɹ ˈ æ m z; rams
ˈ ɪ d; id ihde
ʃ ˈ ɝ t; shirt
s p ˈ aɪ d ɝ; spider
d ˈ i l ɝ; dealer
ɹ ˈ ɛ f j u d͡ʒ i; refugee
ˌ ɔ t ə m ˈ oʊ t ɪ v; automotive
b ˈ ɔɪ f ɹ ˌ ɛ n d; boyfriend
t͡ʃ ˈ ɔɪ s ə z; choices
ˈ ɛ k s; aix eckes ex x x.
l ˈ ɪ n i ə d͡ʒ; lineage
p l ˈ æ n ə t s; planet's planets
d ɪ s k ˈ ʌ s ɪ ŋ; discussing
ˌ ɔ ɹ g ə n ə z ˈ eɪ ʃ ə n ə l; organizational
t ə n ˈ aɪ t; tonight tonite
b l ˈ ɛ s t; blessed blest
l ˈ ɑ k t; locked
ˈ aʊ t k ˌ ʌ m z; outcomes
j ˈ ɑ t; yacht yott
ɛ m p l ˈ ɔɪ z; employs
m ˈ ɑ ɹ; maher mahr mar marr meagher
ɹ ˌ ɑ f aɪ ˈ ɛ l; rafael raphael
æ m b ˈ ɪ ʃ ə s; ambitious
f ˈ aɪ n ə l ɪ s t; finalist
ʃ ˈ i v ə; shiva
k oʊ ˌ ɔ ɹ d ə n ˈ eɪ ʃ ə n; coordination
ɛ m p l ˈ ɔɪ ɝ; employer
t ˈ ɝ k s; turks
p ˈ æ p j u ə; papua
g ˈ ʌ v ɝ m ˌ ɛ n t ə l; governmental
p ˈ ɔ ɹ t͡ʃ; porch
k ə m p l ˈ eɪ n t; complaint
t ˈ ɔ ɹ n; torn
t ˈ ɝ ʃ ɝ i; tertiary
h ˈ i l ɪ ŋ; healing heeling heling
l ˈ ɪ b ˌ ɝ ə l z; liberals liberals'
d ˌ ɛ m ə n s t ɹ ˈ eɪ ʃ ə n z; demonstrations
p ˈ ɝ t͡ʃ ə s ɪ ŋ; purchasing
ˌ ɛ k s k ə v ˈ eɪ ʃ ə n z; excavations
ɹ i g ˈ eɪ n d; regained
s ˈ ɛ l j ə l ɝ; cellular
h ˈ ɑ l ə d ˌ eɪ z; holiday's holidays
n ˈ ɔ ɹ m ə n d i; normandie normandy
l ˈ u θ ɝ; luther
ɹ ˈ i f; reef reif reiff rief
b ˈ oʊ l t ə n; bolten bolton
m ˈ æ d ɹ ə s; madras
ɹ ɪ g ˈ ɑ ɹ d z; regards
ɹ ˈ æ n d i; randi randy
